Participant ID,Overall,A. Why Text
R_82PiWLNvqNB0Q5a,No audio notification at all,"Again, being focussed I would prefer to not be notified."
R_8vYaPDZjNmVualU,No audio notification at all,Too disruptive
R_2jcHCEFJA7BR0hI,No audio notification at all,Ich würde gerne im Fokus nicht gestört werden.
R_2qJWwhP8L0JTDwc,No audio notification at all,need to focus on work when working
R_8eXdWDp0BXIS3ih,No audio notification at all,need to concentrate
R_81THo4xsUVpXXcB,No audio notification at all,"i already struggle with focusing and if i was able to concentrate on one thing at that moment, it would piss me off getting distracted"
R_8lxiIAjgBh6nS81,No audio notification at all,Don't want to be distracted when deeply focused.
R_2FFYkvIS1B2cJA8,No audio notification at all,"I would probably turn my phone into flight mode, when there is a need for being especially focused."
R_2zPlNCUbZ8JpWZB,No audio notification at all,"If I am concentrated - the message will distract me, and may result in the loos of focus later on. Secondly, my working preferences is that I will distract myself and look at my phone if I receive the vibration signal only once I am done with a complicated part, and have a desire or opportunity to read, and text back."
R_8Fa2s5gQHqby1xu,No audio notification at all,if i really have to focus i dont want any disturbance
R_8RkR5LJDCvufjIl,No audio notification at all,When I am working on complex and hard brain thinking work I dont want to be distracted at all
R_8TZerhduC2hcnKy,No audio notification at all,if it was urgent enough they'd call so my notifications stay off - it'd be super disruptive.
R_2dh2IXdUglu1uYV,No audio notification at all,focus or do not disturb mode stays on during work or study
R_2j8rLZgGyZGgQoj,No audio notification at all,When I need to be focused I would rather not be distratcted for a bit.
R_2aNAGlZgflVtY3v,No audio notification at all,if i am focused on a task i want to only think about the task and not about anything else
R_8TFKoOgxzhVrDgZ,No audio notification at all,"Wenn ich eine wichtige Aufgabe erledigen muss, die viel Aufmerksamkeit fordert, brauche ich absolut keine Ablenkung."
R_8jqw8UHg9aIIDRI,No audio notification at all,"It's very distracting because I'm trying to solve a problem, which requires lots of concentration"
R_8fj5FFM9mYzJUIB,No audio notification at all,"If I need to be focused, I don't want disruption"
R_8kgNWKVqvoxXNDa,🔔 Version 1,No disruption with voice notification
R_8DJWwh7dfICB7Db,🔔 Version 1,it is simple
R_8uqW68lNo50I4DJ,🔔 Version 1,"The text message being read out is very disruptive when focusing on a demanding task. I would prefer just the audio notification, that too only because the message is urgent and important. "
R_2gMhUIO2rdXJI86,🔔 Version 1,Im doing a work and ı do not want any noise.
R_2L5aIHwYDvaCUSB,🔔 Version 1,Least disruptive
R_8mXGSIvo1Rmwtal,🔔 Version 1,I want to be disturbed as little as possible while doing something mentally demanding.
R_25HmpH2IIzw051s,🔔 Version 1,"I'm notified but since I'm currently very focused, a notification that's too long might impact my work and distract me too much"
R_8q9Kfy21k0hl6rF,🔔 Version 1,I need concentration 
R_2X0TJXeOLFuPfSN,🗣️ Version 2,I can quickly stop what i am doing to look at my phone. 
R_40YDrxd2bce8vm3,🗣️ Version 2,It reminds me of checking the smartphone.
R_8CDe1vDEJ4aMR4g,🗣️ Version 2,"the 2nd option is the balance between being forced to get your phone and being directly disturbed. I would usually have do not disturb mode, but for an urgent message I can make an exception with version 2"
R_73f3igIb2AiZZTg,🗣️ Version 2,"Second version is in my opinion still better, because it gives the user the choice to ignore it or not, even if it is urgent. I thing the vagueness of the first one causes one to abandon the work fully by being forced to check who sent it"
R_8JCx6iV1TX1qGQN,🗣️ Version 2,"Version 1 hätte ich in dem Szenario höchstwahrscheinlich überhört, gerade wenn ich mich schon eine Weile an den Benachrichtigungston gewöhnt hätte. Version 3 war wiederum zu lang. Ich hätte die Arbeit am längsten unterbrochen bzw. gewartet, bis die Nachricht wiedergegeben worden wäre. Version 2 habe ich gut wahrgenommen, ohne allzu sehr abgelenkt worden zu sein. Die Benachrichtigung war akustisch gut verständlich. Sie war sehr kurz gehalten. Durch die bloße Namensnennung läge die Entscheidung, ob ich die Nachricht lese oder nicht, ausschließlich bei mir."
R_6neGB6qI64zhSKo,🗣️ Version 2,"As no audio is playing in the background, I am fine with a read out with more information. As I am currently focusing on working though, I rather not have the message be read out as I would probably not be responding in that moment anyways until I get a second free."
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,"Wenn man eine Benachrichtigung in einer Fokusphase bekommt, dann bitte aus guten Grund und mit Informationsgehalt."
R_2dssgsqa4HHmfgN,🗣️🗣️ Version 3,"Because I am alone at my desk, privacy is not an issue. Receiving the full text through my glasses gives me the exact context I need while letting me keep my full concentration on the complex code"
R_2llCBFJ5a18v30L,🗣️🗣️ Version 3,ı would like to know without being distracted from my work
R_2bZQT5azTZaKdY5,🗣️🗣️ Version 3,"All three versions disrupt your workflow, so you might as well choose the one with the highest information content."
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,I wanna know if this message is urgent and need immediate attention or not. So knowing the message is important and could help me if ill reply immediately or later.
