Participant ID,Timing,Timing Follow,B. Why Timing Text
R_8lxiIAjgBh6nS81,After the meeting segment I am currently involved in ends,🔔 Version 1,"It should still be up to me to decide whether I want to divide my attention, but like this I at least have the option to answer, if I have to."
R_2FFYkvIS1B2cJA8,After the meeting segment I am currently involved in ends,🗣️🗣️ Version 3,"Timing: As said above, it is not ok in a work environment, but since it is urgent, I want to know what is going on right after."
R_8Fa2s5gQHqby1xu,After the meeting segment I am currently involved in ends,🗣️🗣️ Version 3,if i dont really have to actively talk and pay attention its fine
R_40YDrxd2bce8vm3,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I can decide whether listen to the speakers or check my phone.
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",No reason to delay
R_8TFKoOgxzhVrDgZ,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Selbe Begründung wie oben. In diesem Szenario stört mich die Benachrichtigung nicht :D
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Immediately so one has the chance to leave the office meeting on a bathroom break. Waiting until it's over may take too long
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,"I chose version 1 for preferred time as i dont wanna miss any urgent messages. I chose version 3 for delay as i dont like grabbing my phone to read it, i just want the summary."
R_8q9Kfy21k0hl6rF,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",It is ok because it is not desturbing too much
R_8kgNWKVqvoxXNDa,"Later, when the meeting is over",🗣️🗣️ Version 3,More socially acceptable context
R_2jcHCEFJA7BR0hI,"Later, when the meeting is over",🔔 Version 1,-
R_8uqW68lNo50I4DJ,"Later, when the meeting is over",🗣️ Version 2,"After the meeting I can be notified of the sender, but I'll still be in a social setting with other people so I wouldn't prefer having the message read out to me. "
R_8eXdWDp0BXIS3ih,"Later, when the meeting is over",🗣️🗣️ Version 3,no disruption
R_2X0TJXeOLFuPfSN,"Later, when the meeting is over",🗣️🗣️ Version 3,"I really cannot listen to messages during a meeting. If it is a serious, lets say traffic-accident level emergency, only then would I want to be interrupted. "
R_81THo4xsUVpXXcB,"Later, when the meeting is over",🗣️🗣️ Version 3,i want it to be delayed because meetings are important and i dont want to be distracted. when the meeting is over it is okay to get the notification that it reads so i can choose if i want to answer immediately or not based on my jugde
R_2gMhUIO2rdXJI86,"Later, when the meeting is over",🔔 Version 1,after the meeting ends ı can look at it
R_2dssgsqa4HHmfgN,"Later, when the meeting is over",🗣️ Version 2,"I prefer delaying all notifications until the meeting is completely over, as even private alerts can break my concentration when I need to be fully engaged in the room"
R_2zPlNCUbZ8JpWZB,"Later, when the meeting is over",🗣️ Version 2,Because of the aforementioned reasons
R_8RkR5LJDCvufjIl,"Later, when the meeting is over",🗣️🗣️ Version 3,later it is fine with full context
R_2dh2IXdUglu1uYV,"Later, when the meeting is over",🗣️ Version 2,why would i want to be distracted in a meeting
R_2j8rLZgGyZGgQoj,"Later, when the meeting is over",🗣️ Version 2,"I cant react to the message anyways while in the meeting, it might as well wait, also I could miss something important and that could end up seeming very disrespectful. And I just dont like the message being read to me, it is just annoying."
R_2aNAGlZgflVtY3v,"Later, when the meeting is over",🗣️🗣️ Version 3,.
R_8CDe1vDEJ4aMR4g,"Later, when the meeting is over",🗣️🗣️ Version 3,after the meeting the full message is not disrupting
R_25HmpH2IIzw051s,"Later, when the meeting is over",🔔 Version 1,"When the meeting ends, time has passed already so I could just as well look at my phone to check the message"
