Participant ID,Timing,Timing Follow,C. Why Timing Text
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Wenn es wichtig ist, sofort."
R_82PiWLNvqNB0Q5a,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","As previously stated, there is no need to delay in this context, but also I do not really see the benefit of the glasses here, a smartwatch notification or ""normal"" notification on the phone would also be feasible."
R_8vYaPDZjNmVualU,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Situation allows for notification to appear immediately
R_8uqW68lNo50I4DJ,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Since I'm not doing anything that requires my concentration in particular, the message can be received immediately. "
R_8eXdWDp0BXIS3ih,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",immediate information
R_2X0TJXeOLFuPfSN,Immediately,🗣️🗣️ Version 3,"If it is important, I want to know what the matter is, instantly. "
R_81THo4xsUVpXXcB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",nothing important going on so i can hear it immediately 
R_8lxiIAjgBh6nS81,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Doesn't seem like there would be a better point to play the notification, so since it is an urgent message, might as well play it know."
R_2dssgsqa4HHmfgN,Immediately,🗣️🗣️ Version 3,"Because I was just chilling and listening to music by myself, I had the time to listen to the whole message, so I preferred option 3 for immediate and complete information"
R_40YDrxd2bce8vm3,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I am not working or doing something important so I can receive the message at first time.
R_2FFYkvIS1B2cJA8,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","As before - if it is urgent, I want to know right away."
R_2zPlNCUbZ8JpWZB,Immediately,🗣️🗣️ Version 3,"If I were to delay, in the chosen setting (relaxing and maybe even forgetting to take a look at my phone)- I would prefer to receive the full message audibly as this would require less time to receive the full message and also one I get to my phone - I will probably know what to text back. I.e. - efficiency"
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",The time of a notifications arrival is sometimes as important as the notification itself
R_2llCBFJ5a18v30L,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",it is okay to know that ı recieved a massage since it is not actually distruptive
R_2j8rLZgGyZGgQoj,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I see no reason the notification has to wait here
R_8mXGSIvo1Rmwtal,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","If urgent, I can check my phone quickly and get back to listening."
R_2aNAGlZgflVtY3v,Immediately,🗣️🗣️ Version 3,i want to know who was writing me and what not just who or not just that someone 
R_8CDe1vDEJ4aMR4g,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",notification should always be on time regardless of the situation
R_8TFKoOgxzhVrDgZ,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Gute Situation, um meine Nachrichten direkt mitzubekommen, da ich keinen Fokus brauche."
R_25HmpH2IIzw051s,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I would want to be notified immediately if it's urgent and important and I'm not in a high-stakes or inappropriate situation
R_2bZQT5azTZaKdY5,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Might be urgent. Vers1 bothersome to the extent where it's worth delaying.
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","When relaxing one always has time to be disrupted, so with it being an urgent message, it's self-explanatory"
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,Preferred timing is awesome since i wanna know what the message are and who sent it or if it needs immediate attention or reply. I chose version 3 for delay as i wanna just know the summary of the message without having to get my phone.
R_8fj5FFM9mYzJUIB,Immediately,🔔 Version 1,"I don-'t need to know who texted, I can decide myself if I want to check"
R_8q9Kfy21k0hl6rF,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I can be interrupt anytime
R_8JCx6iV1TX1qGQN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Im genannten Szenario wäre ich nie derart eingespannt, dass ich durch eine akustische Benachrichtigung abgelenkt wäre, und zwar unabhängig von deren Länge und deren Zeitpunkt. Daher geht mein Interesse an einer sofortigen Information klar vor."
R_6neGB6qI64zhSKo,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","As nothing is going on that I need to focus on, I don't see a reason to delay the notification. I'm right next to my phone too so hearing it immediately would allow me to check it out right away."
R_2jcHCEFJA7BR0hI,"Later, when I am done with music and relaxing",🔔 Version 1,-
R_8RkR5LJDCvufjIl,"Later, when I am done with music and relaxing",🗣️🗣️ Version 3,Version 3 is the most clear for to hear everything afte the relaxing
R_8jqw8UHg9aIIDRI,"Later, when I am done with music and relaxing",🗣️ Version 2,I am ready to deal with messages after relaxing
R_2qJWwhP8L0JTDwc,Other:,"Not applicable (I chose ""Immediately"" in the previous question).",we don't need to be slaves to our phones. i think you need to stop doing needless research that encourages that behaviour.
R_8TZerhduC2hcnKy,Other:,🗣️🗣️ Version 3,I dont want to be interrupted by this kind of message
R_8kgNWKVqvoxXNDa,When I am between songs / during a natural pause in music,🗣️🗣️ Version 3,Better occasion to pay full attention
R_8DJWwh7dfICB7Db,When I am between songs / during a natural pause in music,🔔 Version 1,"Because it won't affect my enjoyment of music, and notifications can be noticed easily."
R_2gMhUIO2rdXJI86,When I am between songs / during a natural pause in music,🔔 Version 1,"Because I do not want any destruction. When I'm listening to music, it is ""me time"". Thus, if I have a plan with my friend, I know when to get ready, so I do not need to receive any notifications about it. "
R_2dh2IXdUglu1uYV,When I am between songs / during a natural pause in music,🗣️ Version 2,assuming devices can accurately understand when i am between tasks/in a moment that doesnt interrupt i am fine with receiving a notification that gives me the sender's ID because that would allow me to then understand if the notification is worth looking at without picking up my phone
R_8Fa2s5gQHqby1xu,When I switch from relaxing to another task (e.g. tidying room). Music continues.,🗣️🗣️ Version 3,"if im trying to relax, i dont want to be disturbed by any. Whem im done, the one with most info is the most convenient one
"
