Participant ID,Timing,Timing Follow,D. Why Timing Text
R_2gMhUIO2rdXJI86,"After I finish setting up the current part of the tent (e.g., finishing putting in a pole)",🔔 Version 1,"At least one part will be finished, and I can look at it since it would be a break time. "
R_8RkR5LJDCvufjIl,"After I finish setting up the current part of the tent (e.g., finishing putting in a pole)",🗣️🗣️ Version 3,If it comes later then the full message is fine again since then I have time
R_8TFKoOgxzhVrDgZ,"After I finish setting up the current part of the tent (e.g., finishing putting in a pole)",🔔 Version 1,Selbe Antwort wie zuvor. Eine kurze Benachrichtigung wenn gerade das Aktuelle aus dem Weg ist und jeder seiner eignen Arbeit nachgeht ist okay.
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Ist wichtig, also sofort."
R_82PiWLNvqNB0Q5a,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Maybe the notification is necessary, i.e., Lilly needs to be picked up somewhere, for the remainder of the activity. Then, I would prefer to be notified immediately."
R_8vYaPDZjNmVualU,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Easiest to detect
R_8DJWwh7dfICB7Db,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Because I'm more relaxed at this time.
R_8uqW68lNo50I4DJ,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Since I'm not doing an extremely demanding task which requires all my attention, and this message is urgent and important, I chose to get the notification immediately. "
R_8eXdWDp0BXIS3ih,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",immediate information
R_81THo4xsUVpXXcB,Immediately,🗣️🗣️ Version 3,"i dont know how long it would take to finish the task, might be 20 minutes maybe. and since it is an important message its okay to immediately recieve it. then the next possible moment i can give a quick break and answer it. if the message does not sound too important for me i could answer it later too so i should hear what it said to decide at that moment"
R_8lxiIAjgBh6nS81,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","No telling when a break will be taken, so I might as well be notified right away.
"
R_2FFYkvIS1B2cJA8,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Since we are not talking to each other in that moment, it is absolutely fine."
R_2zPlNCUbZ8JpWZB,Immediately,🗣️ Version 2,"Even though I chose immediately, if I were to change my settings for, say, tasks different from setting the tent - that require complete focus and could put me or success of my task in danger if I am not concentrated - I would like for the message to be displayed later."
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","A notification, especially for instant messaging, should arrive the moment the message arrives. It is up to me to judge how to handle a notification, not up to the glasses."
R_8Fa2s5gQHqby1xu,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",easiest and not that disruptive
R_2llCBFJ5a18v30L,Immediately,🗣️🗣️ Version 3,there is no distruction from the environment or caused by the notification
R_8mXGSIvo1Rmwtal,Immediately,🔔 Version 1,"I just want to know that I got a message, I can read it later."
R_2aNAGlZgflVtY3v,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",same as the last answer
R_8CDe1vDEJ4aMR4g,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I see no reason for a message to be delayed here
R_25HmpH2IIzw051s,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","I'm not doing anything super important, so I would want the information that I received a message from Lily immediately, so I can go listen to/read the full message directly afterwards"
R_8jqw8UHg9aIIDRI,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I am not doing anything that demands that much concentration at that moment
R_2bZQT5azTZaKdY5,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",You can just pause your work for a couple seconds if multitasking isnt an option.
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","You can step away from the tent briefly to check your phone, so it's a lower priority."
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,I wanna know the message and see if its really urgent and needs immediate attention. I still choose version 3 for delays because i wanna know the whole message without having to read through my phone.
R_8fj5FFM9mYzJUIB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I'm not in a focused space
R_8q9Kfy21k0hl6rF,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Because it is urgent and I can be desturb immediatly
R_8JCx6iV1TX1qGQN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Die Benachrichtigung lenkt nicht ab, sodass ich sie am besten sofort hören will"
R_6neGB6qI64zhSKo,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","As there is no voices or anything important I need to focus on, I would prefer the notification to sound immediately so that I know I received something."
R_8kgNWKVqvoxXNDa,"Later, when the whole tent is set up and we are done working",🗣️🗣️ Version 3,Better occasion to listen to the message content
