Participant ID,Overall,D. Why Text
R_2qJWwhP8L0JTDwc,No audio notification at all,don't want to be a slave to my phone
R_8RkR5LJDCvufjIl,No audio notification at all,Tbh it was okay to receive it but when I am building a tent I better do not want to be disturbed since i cannot answer anyways at that point
R_8TZerhduC2hcnKy,No audio notification at all,I dont want to be interrupted by this kind of message
R_8vYaPDZjNmVualU,🔔 Version 1,Easiest to perceive
R_2jcHCEFJA7BR0hI,🔔 Version 1,"Die Musik würde mich dermaßen stören und sensibilisieren, wenn dann auch noch ein Ton einer Nachricht ertönt... schrecklich."
R_8lxiIAjgBh6nS81,🔔 Version 1,"If the music was louder, I feel like this one is the one I would be most likely to hear. Also responding would mean taking out my phone anyways, because a voice command probably would not work."
R_2gMhUIO2rdXJI86,🔔 Version 1,"Again I'm doing a thing and ı do not want to be disturbed. If it were that urgent, Lilly could call me instead of texting. "
R_2FFYkvIS1B2cJA8,🔔 Version 1,"Since, the other two might speak to me, I want to decide for myself, when to hear/see the whole text."
R_2zPlNCUbZ8JpWZB,🔔 Version 1,"First of all, I think that receiving an audio notification requires at least some concentration. Given that I am already doing tow tasks - setting up the tent (it requires concentration, even if little) and listening to music - listening to a message could disorient me, or I could have even missed the notification during multitasking. In this first case - I would prefer Version 2. 
However, given my own music preferences - I like to listen to music without being interrupted by longer phone notifications. Given that I know that the message is important - I would have to retract from my current task and look at my phone anyway. In this case I would prefer Version 1."
R_2L5aIHwYDvaCUSB,🔔 Version 1,The information that I got a message is conveyed but it is the least obtrusive option
R_8mXGSIvo1Rmwtal,🔔 Version 1,I just need to know that I got a notification.
R_8TFKoOgxzhVrDgZ,🔔 Version 1,"Wenn es lediglich um seperate Tätigkeiten geht, ohne Interaktion ist eine kurze Benachrichtigung als Ton nicht verkehrt."
R_82PiWLNvqNB0Q5a,🗣️ Version 2,"It would suffice to know that the message is from Lilly since I am not able to stop assembling the tent at the moment, but I would know to get back to my phone once I can take a short break."
R_8kgNWKVqvoxXNDa,🗣️ Version 2,Acceptable disruption
R_2X0TJXeOLFuPfSN,🗣️ Version 2,"If it is important, I want to know what the matter is, instantly. However, maybe my friends say something to me that I cant understand because of the full whatsapp reading notification. "
R_2dssgsqa4HHmfgN,🗣️ Version 2,"Since I was working with a group in a noisy outdoor setting, I preferred option 2 to quickly check who was calling or texting without losing track of the teamwork and safety around me"
R_40YDrxd2bce8vm3,🗣️ Version 2,I can hear the new message.
R_2dh2IXdUglu1uYV,🗣️ Version 2,both hands busy so letting me know who is messaging me allows me to then decide if the message is worth opening on my phone
R_2j8rLZgGyZGgQoj,🗣️ Version 2,Just the right amount of information in the notification. Long text reading disupts too much. (Version 3) 
R_25HmpH2IIzw051s,🗣️ Version 2,"I would want the information about the sender since I'm not doing anything too important but since I'm with others, I might want to keep sensitive informartion or my reaction to it private and find a better space to learn more about the content"
R_8jqw8UHg9aIIDRI,🗣️ Version 2,"The music is too loud for sound Version 1, Version 2 gives me just the right amount of information I need"
R_73f3igIb2AiZZTg,🗣️ Version 2,The second version still gives enough info (name)
