Participant ID,Timing,Timing Follow,E. Why Timing Text
R_2jcHCEFJA7BR0hI,After I have finished cycling / reached my destination,🔔 Version 1,-
R_2qJWwhP8L0JTDwc,After I have finished cycling / reached my destination,🔔 Version 1,there's nothing i can do about urgent and important messages when driving on the road anyway. what will i get out of listening to it immediately?
R_8eXdWDp0BXIS3ih,After I have finished cycling / reached my destination,🗣️🗣️ Version 3,safety
R_81THo4xsUVpXXcB,After I have finished cycling / reached my destination,🗣️🗣️ Version 3,after i finished cycling its okay to get the notification and hear what it says
R_2gMhUIO2rdXJI86,After I have finished cycling / reached my destination,🔔 Version 1,After I finished I can look at the message since there would be no danger from traffic. 
R_2dssgsqa4HHmfgN,After I have finished cycling / reached my destination,🗣️🗣️ Version 3,"Finally in a safe, stationary position where I could comfortably listen to the full message without any safety risks"
R_8RkR5LJDCvufjIl,After I have finished cycling / reached my destination,🗣️🗣️ Version 3,After the bike riding it is oky with version 3 full text to listen what lilly said
R_2dh2IXdUglu1uYV,After I have finished cycling / reached my destination,🗣️ Version 2,"my phone should not be begging me for my attention all the time, especially not during dangerous tasks that require focus
"
R_8mXGSIvo1Rmwtal,After I have finished cycling / reached my destination,🔔 Version 1,"Cycling is dangerous as is, no need to make it dangerous by distracting sounds."
R_82PiWLNvqNB0Q5a,"After I reach a safe stopping point (e.g., at a traffic light)",🗣️🗣️ Version 3,"I still think that Version 3 is better in that context, but it can be a bit delayed within some timecorridor such that I also am able to comprehend the message. Should it be super urgent that I answer her, I can maybe pull to the side with the bike and briefly reply."
R_8DJWwh7dfICB7Db,"After I reach a safe stopping point (e.g., at a traffic light)",🔔 Version 1,It’s safer and more convenient for me to reply to messages at this time.
R_8uqW68lNo50I4DJ,"After I reach a safe stopping point (e.g., at a traffic light)",🗣️🗣️ Version 3,The text message being read out wouldn't be disruptive or unsafe when I've stopped. 
R_40YDrxd2bce8vm3,"After I reach a safe stopping point (e.g., at a traffic light)",🗣️🗣️ Version 3,It is beneficial for my safety.
