Participant ID,Overall,E. Why Text
R_2jcHCEFJA7BR0hI,No audio notification at all,Ich brauche 100ige Konzentration.
R_2qJWwhP8L0JTDwc,No audio notification at all,need to focus on the road
R_81THo4xsUVpXXcB,No audio notification at all,"in this scenario even if i hear the message immediately in that moment, i wont be able to answer it right away since i am biking. so no need to disrupt my peace and concentration at that moment. also it might be dangerous"
R_8RkR5LJDCvufjIl,No audio notification at all,While driving with any kind of vehicle  I want to be focused and not be distracted by any kind of device
R_8TZerhduC2hcnKy,No audio notification at all,I dont want to be interrupted by this kind of message
R_8mXGSIvo1Rmwtal,No audio notification at all,Let me focus on the road please.
R_8DJWwh7dfICB7Db,🔔 Version 1,"Cycling requires full concentration, so this sound won’t disrupt my ride much."
R_8eXdWDp0BXIS3ih,🔔 Version 1,safety
R_2gMhUIO2rdXJI86,🔔 Version 1,"I'm cycling, and something can happen if ım distracted, and a voice will definitely do that."
R_2dssgsqa4HHmfgN,🔔 Version 1,"I choose option 1 while cycling because I need to stay aware of my surroundings, like car horns or traffic sounds, without being distracted by a voice reading out a full message"
R_2zPlNCUbZ8JpWZB,🔔 Version 1,"Cycling requires complete focus. If I were to choose, I would like the least disrupting notification. Because I know it's urgent - I will pull over and take out my phone once guaranteeing my safety and safety of others on the road. The addition of a name and especially the content of the message can cause loose of concentration, and also depending on the content of the message - it can influence my mental sensitivity."
R_2dh2IXdUglu1uYV,🔔 Version 1,version 2 and 3 distract from the task at hand
R_8jqw8UHg9aIIDRI,🔔 Version 1,I'd prefer a less disruptive sound when I'm on the road and dealing with traffic
R_73f3igIb2AiZZTg,🔔 Version 1,"The first version is better only because it's so short, for the second version I would actually prefer a sound the user picked out for the app and then just 'Lily', so ""New WhatsApp from Lily"" -&gt; *ping* ""Lily"""
R_8kgNWKVqvoxXNDa,🗣️ Version 2,It notifies me in a brief and concise way without needing to pay more attention 
R_8uqW68lNo50I4DJ,🗣️ Version 2,"I would want to focus on driving and navigating, and the text message being read out would be disruptive and unsafe. I wouldn't mind just knowing the sender. "
R_2j8rLZgGyZGgQoj,🗣️ Version 2,Best tradeoff between information and distraction.
R_8TFKoOgxzhVrDgZ,🗣️ Version 2,"In einer potentiell gefährlichen Situation möchte ich Nachrichten direkt hören, aber zu wissen von wem eine angekommen ist, ist in Ordnung. So verliere ich den Fokus nicht."
R_8fj5FFM9mYzJUIB,🗣️ Version 2,I know who is texting
