Participant ID,Overall,F. Why Text
R_81THo4xsUVpXXcB,No audio notification at all,this would annoy me so much if i want to hear the special offer.
R_2zPlNCUbZ8JpWZB,No audio notification at all,"The announcement is played at the supermarket. Even though in this case it is probably not sth that I would need to hear, but in most cases I think it would be. Secondly, I can only listen to music quietly when I am shopping - because I need concentration not to lose efficiency and focus; and also it is often a crowded place, where strangers may ask me questions."
R_8TZerhduC2hcnKy,No audio notification at all,not urgent
R_8mXGSIvo1Rmwtal,No audio notification at all,"I dont need a notification unless highly urgent, which usually means calling."
R_8jqw8UHg9aIIDRI,No audio notification at all,"The environment is quite busy, I would like to hear about possible discounts. Maybe I was in the process of deciding between two items or reading their packaging etc."
R_82PiWLNvqNB0Q5a,🔔 Version 1,I would be overwhelmed by the two spoken sounds overlapping at the same time when I am also thinking about what to get at the store and my hands are full on top of that.
R_2jcHCEFJA7BR0hI,🔔 Version 1,"Das Gleiche, wie in dem anderen Szenario im Café."
R_2qJWwhP8L0JTDwc,🔔 Version 1,privacy concerns
R_2X0TJXeOLFuPfSN,🔔 Version 1,I personally cannot listen to two voices at the same time so I cannot understand any of them. The brief sound made it easier and less frustrating. 
R_2gMhUIO2rdXJI86,🔔 Version 1,Im alone and Im not doing anything important so I do not mind the sound
R_2dssgsqa4HHmfgN,🔔 Version 1,"While shopping at the supermarket, I prefer option 1 for privacy reasons, as I don't want people in the crowded aisles to overhear my personal messages"
R_2FFYkvIS1B2cJA8,🔔 Version 1,"I can not concentrate on one thing when they ""speak"" at the same time, so anything spoken would not have any benefit for me."
R_2L5aIHwYDvaCUSB,🔔 Version 1,All necessary information is gained
R_8RkR5LJDCvufjIl,🔔 Version 1,It was too loud to understand version 2 and 3 so I prefer to better only know about the message than not understanding it correctly and be stressed
R_2llCBFJ5a18v30L,🔔 Version 1,"ı would only want to know that ı recieved a massage without being distracted, in a more appropriate time, I will check the massage by myself"
R_2dh2IXdUglu1uYV,🔔 Version 1,"does not interrupt task at hand, grocery shopping is already very overstimulating with all the sounds and colors, i dont need more information input"
R_2aNAGlZgflVtY3v,🔔 Version 1,i want to hear the special offer an i can look ther safly and easy on my phone
R_25HmpH2IIzw051s,🔔 Version 1,"If the offer is very important for me, I might miss or or not be able to concentrate on it when I hear V.2 or 3"
R_8q9Kfy21k0hl6rF,🔔 Version 1,Because I can not underdand detailed information of 2 peaple at the same time
R_8JCx6iV1TX1qGQN,🔔 Version 1,"Version 1 war relativ schwer zu bemerken (es hätte sich auch um einen Signalton der Supermarktes handeln können, etwa vor einer Durchsage oder wenn eine Kasse schließt/öffnet). Trotzdem fand ich sie am besten, weil sie so dezent war, dass ich die Lautsprecherdurchsage noch vollständig verstanden habe. Bei Version 2 habe ich die Mitte der Durchsage, bei Version 3 sowohl die Mitte als auch den Schluss der Durchsage überhaupt nicht verstanden. Dies hätte mich womöglich geärgert, wenn die Durchsage für mich interessant gewesen wäre."
R_6neGB6qI64zhSKo,🔔 Version 1,I almost get a headache trying to focus on both voices as they very easily overlap each other. It would be really inappropriate to have the audio say any words in this moment.
R_8kgNWKVqvoxXNDa,🗣️ Version 2,Simple notification about new message
R_8uqW68lNo50I4DJ,🗣️ Version 2,"Once, again there's overlapping audio, making it difficult to clearly hear the text message being read out. "
R_40YDrxd2bce8vm3,🗣️ Version 2,Make sure I receive the new message.
R_2j8rLZgGyZGgQoj,🗣️ Version 2,Just enough information provided and also still well understandable.
R_73f3igIb2AiZZTg,🗣️ Version 2,"Even though one's hands are full, I'd still prefer the second one, as the name gives enough info. "
R_8fj5FFM9mYzJUIB,🗣️ Version 2,I know who is texting
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,"Wenn ich keine Hand frei habe, ist es praktisch, die Nachricht direkt zu hören."
R_8vYaPDZjNmVualU,🗣️🗣️ Version 3,Most information
R_8DJWwh7dfICB7Db,🗣️🗣️ Version 3,This allows me to notice messages clearly.
R_8eXdWDp0BXIS3ih,🗣️🗣️ Version 3,all information at once
R_8lxiIAjgBh6nS81,🗣️🗣️ Version 3,Announcement over the speakers of the store is unimportant and my hands are full.
R_8Fa2s5gQHqby1xu,🗣️🗣️ Version 3,if my hands are full i cant reach for my phone so it would be practical. On the other hand its annoying if i actually want to hear the special offer
R_8CDe1vDEJ4aMR4g,🗣️🗣️ Version 3,"hands are busy, and in real life I struggle a lot when I want to call my family and ask what they want or if they need to reach me out. it exhausts me to constantly need to put down the bags and pick them back up. It is slightly inconvenient with the background promotion, but generally they are not important"
R_8TFKoOgxzhVrDgZ,🗣️🗣️ Version 3,"Habe nichts spezielles zu tun und einkaufen braucht nicht so vie Fokus, dass ich nichts von meinen Nachrichten mitbekommen möchte. Version 3, weil es immer noch eine kurze Nachricht ist."
R_2bZQT5azTZaKdY5,🗣️🗣️ Version 3,Supermarket announcements are never important.
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,I wanna know if the message is really urgent and needs immediate attention or reply.
