Participant ID,Timing,Timing Follow,G. Why Timing Text
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Man hat ja gerade mentale Kapazität.
R_8vYaPDZjNmVualU,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I am not doing anything dangerous at the time.
R_8DJWwh7dfICB7Db,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Because it's convenient.
R_2X0TJXeOLFuPfSN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","I have full capacity to understand both things because for me, a podcast is more of an environment filler rather than something i am actually listening to. "
R_2dssgsqa4HHmfgN,Immediately,🔔 Version 1,"While listening to a podcast, I preferred option 1 because hearing the full message would overlap with the host's voice, making it confusing and hard to understand either one."
R_40YDrxd2bce8vm3,Immediately,🗣️🗣️ Version 3,i am cooking so i do not have time to check the phone.
R_2FFYkvIS1B2cJA8,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Same as before - if it is urgent, I want to receive it right away."
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Handling of notifications and what to do with them is up to me
R_2llCBFJ5a18v30L,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",better to know immadiately so I can arrange the time for an answer in my head and arrange my environment 
R_2j8rLZgGyZGgQoj,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","In that situation it sees like it would be easy to stop what I am doing, take a break and look at the message."
R_2aNAGlZgflVtY3v,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",".
"
R_8jqw8UHg9aIIDRI,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","It's during my freetime, but I am listening to something else already, so a short sound effect would be the best option in my opinion"
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Relaxing and cooking dinner has a lower priority
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,Preferred timing is good as i wanna know immediately if the message is really important or not. Version 3 for delays as i need the summary or message without having to grab my phone to check
R_8fj5FFM9mYzJUIB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",a podcast is not something I listen to very carefully 
R_8q9Kfy21k0hl6rF,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",the message is urgent and I can be desturbed
R_8eXdWDp0BXIS3ih,"Later, when dinner is completely cooked and I am done in the kitchen",🗣️🗣️ Version 3,don't want to be disrupted 
R_2gMhUIO2rdXJI86,"Later, when dinner is completely cooked and I am done in the kitchen",🔔 Version 1,At least Im done with the cooking.
R_2zPlNCUbZ8JpWZB,"Later, when dinner is completely cooked and I am done in the kitchen",🗣️🗣️ Version 3,"Once I am done cooking, I would be ready to receive the message at its full."
R_8RkR5LJDCvufjIl,"Later, when dinner is completely cooked and I am done in the kitchen",🗣️🗣️ Version 3,later againw itht he full version or just check my phone
R_2dh2IXdUglu1uYV,"Later, when dinner is completely cooked and I am done in the kitchen",🔔 Version 1,my focus shouldn't be torn between multiple tasks
R_8mXGSIvo1Rmwtal,"Later, when dinner is completely cooked and I am done in the kitchen",🔔 Version 1,"I would want my food and podcast to be finished before doing something else
"
R_8CDe1vDEJ4aMR4g,"Later, when dinner is completely cooked and I am done in the kitchen",🗣️🗣️ Version 3,"I don't read or answer calls when I am cooking, it is always disruptive, and kitchen is usually quite a loud space, so it is really inconvenient to talk. receiving a message when im finished is the perfect timing to receive and answer a message. I guess I wouldn't be able to dictate a wished answer when im listening to a podcast and it could ruin my mood"
R_82PiWLNvqNB0Q5a,Other:,🗣️🗣️ Version 3,"Under the condition I described, it would be perfectly fine to listen to and understand the notification; then I would prefer to hear the whole thing."
R_2qJWwhP8L0JTDwc,Other:,🔔 Version 1,i don't need to be a slave to my phone; i am checking it all the time anyway--why do i need additional auditory stimulus to check it EVEN MORE than i already do????
R_8TZerhduC2hcnKy,Other:,🗣️🗣️ Version 3,I dont want to be interrupted by this kind of message
R_25HmpH2IIzw051s,Other:,🗣️🗣️ Version 3,"If the podcast is paused, I can focus appropriately on the notification and would then like to receive information about sender and content as well, since it’s urgent"
R_8JCx6iV1TX1qGQN,Other:,🗣️🗣️ Version 3,"Wenn ich weder auf das Kochen noch auf den Podcast konzentriert bin, werde ich durch  Benachrichtigungen nicht abgelenkt. In diesem Fall würde ich ein Mehr an Information (Absender und Inhalt der Nachricht wie in Version 3) gegenüber einer kürzeren Benachrichtigung, aufgrund derer ich die Wichtigkeit und Dringlichkeit der Nachricht nicht final einschätzen kann (Version 1 und 2), bevorzugen."
R_8kgNWKVqvoxXNDa,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🗣️🗣️ Version 3,Better timing to listen to the message content
R_2jcHCEFJA7BR0hI,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🔔 Version 1,-
R_8uqW68lNo50I4DJ,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🗣️🗣️ Version 3,"During a pause in the podcast, I'll be able to hear the audio from the notification better. "
R_81THo4xsUVpXXcB,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🗣️🗣️ Version 3,would be nice to have it in the break so its not that distracing but its also okay if i immediately get it
R_8lxiIAjgBh6nS81,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🗣️🗣️ Version 3,"If I can't do anything about the message or might not understand it, then it should wait."
R_8Fa2s5gQHqby1xu,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🗣️🗣️ Version 3,the easisest
R_8TFKoOgxzhVrDgZ,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🔔 Version 1,"Damit ich mich aufs Kochen und den Podcast konzentrieren kann und damit ich nicht zu sehr abgelenkt werde, gerade dann nicht, falls sich etwas überschneiden sollte."
R_2bZQT5azTZaKdY5,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🔔 Version 1,Makes for the least disruptive experience.
R_6neGB6qI64zhSKo,"When there is a natural pause in the podcast or a brief break in cooking (e.g., waiting for water to boil)",🔔 Version 1,A delay would be preferred so that the notification isn't played while someone is currently talking in what I'm listening to. I would still prefer it not to read out though as I am still listening to something and would rather just know that I need to look at my phone later.
