Participant ID,Timing,Timing Follow,H. Why Timing Text
R_8uqW68lNo50I4DJ,After I finish completing the current study task,🗣️ Version 2,"I can be notified of a new message when I'm done with one task and moving on to the next, since I won't be actively focusing. Still due to the music and surroundings, I wouldn't want to whole message to be read out. "
R_81THo4xsUVpXXcB,After I finish completing the current study task,🔔 Version 1,"after finishing the current task its okay to be distracted for a moment before starting to the next one, but i still wouldnt want to get the notification details immediately maybe because i still dont want to get too distracted"
R_2aNAGlZgflVtY3v,After I finish completing the current study task,🗣️🗣️ Version 3,because i would still get the whole information without being interrupted im my thout process
R_8fj5FFM9mYzJUIB,After I finish completing the current study task,🗣️ Version 2,I always have do not disturb whenever I'm studying 
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Ist ja wichtig, deshalb sofort."
R_2X0TJXeOLFuPfSN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",the notification is important so I would like to have it at that moment. 
R_2FFYkvIS1B2cJA8,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","I have time and focus and since it is urgent, I am fine to hear it right away in full."
R_2zPlNCUbZ8JpWZB,Immediately,🗣️ Version 2,Out of the above-mentioned reasons
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",The time when a notification arrives is a vital part of the notification
R_8Fa2s5gQHqby1xu,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",if its urgent i want to hear it immedietly if not i can just read it later when im on my break and checking other stuff on the phone
R_8RkR5LJDCvufjIl,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I prefer for the timing to be immediately since I want and need to know if the information is important or not. Every message could be a potential imergency
R_2j8rLZgGyZGgQoj,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","It doesnt need to wait, I am not doing something that is in need of not being distracted by a message."
R_8mXGSIvo1Rmwtal,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","If I immediately check my phone, I might be able to get back to studying quicker."
R_8CDe1vDEJ4aMR4g,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",coffee place is fine for notifications
R_25HmpH2IIzw051s,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","It's an important and urgent message, which means and the content suggests that I'm probably expecting a notification anyways, so I would want to be informed immediately"
R_2bZQT5azTZaKdY5,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Activity isnt important enough to justify delaying a potentially important notification.
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Studying in a cafe takes lower priority than an urgent text
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,I prefer version 3 because i want to know if the message is highly urgent and needs immediate attention and if who the person who sent this. I chose version 3 for delays because its easier for me to just listen who message me and whats the message without having to grab my phone.
R_8JCx6iV1TX1qGQN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Es macht für mich bei der ohnehin ablenkenden Umgebung keinen Unterschied, wann ich benachrichtigt werde. Ich wäre nie ganz auf das Lernen fokussiert. Daher würde mein Bedürfnis nach sofortiger Information überwiegen."
R_6neGB6qI64zhSKo,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","As not much is going on conversation-wise or socially, I would want the notification to sound immediately so that I am aware right away of the message. Within this context, there is less for me to get distracted from."
R_8vYaPDZjNmVualU,"Later, when I am completely done studying",🗣️ Version 2,Too disruptive in that context. 
R_2dssgsqa4HHmfgN,"Later, when I am completely done studying",🗣️🗣️ Version 3,"I prefer delaying version 3 until I’m completely done studying because I want to fully focus on my work first, and then catch up on all the missed details once I'm finally free"
R_2dh2IXdUglu1uYV,"Later, when I am completely done studying",🔔 Version 1,i turn on focus mode on my devices to focus on tasks like studying
R_8TFKoOgxzhVrDgZ,"Later, when I am completely done studying",🗣️🗣️ Version 3,"Verspätet, damit ich mich aufs Lernen konzentrieren kann und Version 3, weil ich bei kurzen Nachrichten immer noch kein Problem habe, wenn sie kurz vorgelesen werden, sodass ich nicht zwangsläufig selbst danach suchen muss."
R_8jqw8UHg9aIIDRI,"Later, when I am completely done studying",🗣️ Version 2,"When I'm done studying I can continue with dealing with notifications. It's a loud place already, I don't want to distract myself even more"
R_82PiWLNvqNB0Q5a,Other:,🔔 Version 1,"It would again (like in the meeting scenario) be ideal to be able to just get the notification that something happend while I was focussed, but then I get to check myself instead of having it being read out to me."
R_2jcHCEFJA7BR0hI,Other:,🔔 Version 1,-
R_2qJWwhP8L0JTDwc,Other:,"Not applicable (I chose ""Immediately"" in the previous question).","don't need audio notification at all for messages, especially when studying. i see them when i see them."
R_8TZerhduC2hcnKy,Other:,🗣️🗣️ Version 3,"I dont want to be interrupted by this kind of message but if it was important I'd wanna know what happened
"
R_8kgNWKVqvoxXNDa,When I briefly pause my studying/reading to take a sip of coffee or look up,🗣️🗣️ Version 3,More focused
R_8DJWwh7dfICB7Db,When I briefly pause my studying/reading to take a sip of coffee or look up,🗣️ Version 2,It’s perfect to check messages during breaks.
R_8eXdWDp0BXIS3ih,When I briefly pause my studying/reading to take a sip of coffee or look up,🗣️🗣️ Version 3,no disruption
R_8lxiIAjgBh6nS81,When I briefly pause my studying/reading to take a sip of coffee or look up,🗣️ Version 2,"Better not to distract me, if the message isn't delayed too long."
R_2gMhUIO2rdXJI86,When I briefly pause my studying/reading to take a sip of coffee or look up,🔔 Version 1,when ım at a break ı can look at it
R_40YDrxd2bce8vm3,When I briefly pause my studying/reading to take a sip of coffee or look up,🗣️ Version 2,I finished my task so I can check the exact message through the phone.
R_2llCBFJ5a18v30L,When I briefly pause my studying/reading to take a sip of coffee or look up,🗣️🗣️ Version 3,it is better to know the whole massage and context when in a slight break beacuse I would not be distracted from my work 
R_8q9Kfy21k0hl6rF,When I briefly pause my studying/reading to take a sip of coffee or look up,🗣️🗣️ Version 3,Because when I study I need peace and as soon as I have time I can hear the compleat message
