Participant ID,Timing,Timing Follow,I. Why Timing Text
R_82PiWLNvqNB0Q5a,After we completely conclude our current topic of conversation,🗣️🗣️ Version 3,"I think then it would be also a ""normal"" setting where I otherwise might look at my phone; especially given that there seems to be another meeting after this one where I want to coordinate with Lilly."
R_2gMhUIO2rdXJI86,After we completely conclude our current topic of conversation,🔔 Version 1,"If it is urgent, then I can look at it after we finish our conversation. "
R_8Fa2s5gQHqby1xu,After we completely conclude our current topic of conversation,🗣️🗣️ Version 3,easiest
R_8kgNWKVqvoxXNDa,At the next natural pause in the conversation after we resume talking,🗣️🗣️ Version 3,Better occasion to focus on the message content
R_2jcHCEFJA7BR0hI,At the next natural pause in the conversation after we resume talking,🔔 Version 1,-
R_8DJWwh7dfICB7Db,At the next natural pause in the conversation after we resume talking,🗣️ Version 2,Because it won't interrupt my normal conversations with friends.
R_8uqW68lNo50I4DJ,At the next natural pause in the conversation after we resume talking,"Not applicable (I chose ""Immediately"" in the previous question).","I would not want the audio to disrupt the discussion with Jessica as I might miss what she's saying, or lose my train of thought, so I can get the notification when there's a pause and no one's speaking. "
R_8eXdWDp0BXIS3ih,At the next natural pause in the conversation after we resume talking,🗣️🗣️ Version 3,want to end up conversation 
R_81THo4xsUVpXXcB,At the next natural pause in the conversation after we resume talking,🔔 Version 1,i can be aware that i got a notification more details would be too disrupting at that moment and can be annoying for my friend. when there is a pause its okay to hear the first notification but still i wouldnt want to hear all the message 
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Da die Unterhaltung ja gerade pausiert wird, ist es ein guter Zeitpunkt. Generell sollten Benachrichtigungen nur kommen, wenn die Unterhaltung pausiert wird, da sich sonst zwei Stimmen mischen und man ggF nichts mehr versteht."
R_8vYaPDZjNmVualU,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Pause in conversation
R_8lxiIAjgBh6nS81,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","It's already a natural break in talking, where I could quickly glance at my phone and if necessary, excuse myself, to answer the message before the conversation resumes."
R_40YDrxd2bce8vm3,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I can hear the remind voice of the message and decide whether to check it.
R_2FFYkvIS1B2cJA8,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I don't want this friend to feel that I am rude and am not listening to her.
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",No reason to delay
R_8RkR5LJDCvufjIl,Immediately,🗣️🗣️ Version 3,I believe this was a good exaple for using smart glasses so I did not need to take my phone which would be rude
R_2llCBFJ5a18v30L,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",ı would not want it another timing because it is already a natural pause in the conversation
R_2j8rLZgGyZGgQoj,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I see no reason why it would have to wait here. I can hear it and I can choose to answer when I am ready
R_8mXGSIvo1Rmwtal,Immediately,🔔 Version 1,"I know to check my phone, which can be done later."
R_8CDe1vDEJ4aMR4g,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",no need to delay a ding notification
R_25HmpH2IIzw051s,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Since my friend is looking something up, the conversation isn't currently ongoing, so I can quickly hear the message without seeming too distracted"
R_2bZQT5azTZaKdY5,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Since the glasses aren't intelligent (for now) I don't trust them to differentiate between an urgent and non urgent notification.
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","You can check your phone even whilst being with a friend, so it's lower priority"
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,As ive said i really wanna know the message right away to see if its urgent that i need to reply immediately or not. I chose the Version 3 for delay because its easier to just know the whole context of message or the summary instead of having to pull out my phone to read it.
R_8fj5FFM9mYzJUIB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","I'm not studying, I can decide myself if I want to check who texted "
R_8q9Kfy21k0hl6rF,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Because a notification is not desturbing the activity (moreover the other pearson is checking the phone)
R_8JCx6iV1TX1qGQN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Das Gespräch pausiert gerade ohnehin. Die Pause lässt sich bestens für die Benachrichtigung nutzen, da sie andernfalls gar nicht genutzt worden wäre."
